time,cpu%,mem%,down,Label
115,99.3,58.1,0.04814453125,mining
116,100.0,58.2,13.656640625,mining
117,100.0,58.4,0.0,mining
118,100.0,58.4,2.82080078125,mining
119,97.1,58.4,0.027734375,mining
120,100.0,58.6,0.00869140625,mining
121,100.0,58.7,0.0,mining
122,100.0,58.8,0.0,mining
123,80.5,58.7,0.0,mining
124,99.6,58.9,0.0064453125,mining
125,100.0,59.4,0.0,mining
126,100.0,59.5,0.0,mining
127,100.0,59.5,0.0,mining
128,88.2,59.4,0.0,mining
129,91.3,59.2,0.0,mining
130,100.0,59.1,0.0,mining
131,100.0,59.3,0.0,mining
132,100.0,59.5,0.0,mining
133,100.0,59.8,0.0,mining
134,100.0,59.9,0.0,mining
135,99.2,59.5,0.0107421875,mining
136,95.6,59.2,0.0,mining
137,97.0,59.1,9.66220703125,mining
138,82.6,59.3,2.10546875,mining
139,100.0,59.6,0.80693359375,mining
140,100.0,59.7,0.0,mining
141,87.0,59.5,0.0,mining
142,82.4,59.6,0.0,mining
143,57.7,59.3,0.0,mining
144,100.0,59.5,0.0,mining
145,100.0,59.5,0.0169921875,mining
146,100.0,59.6,0.0,mining
147,100.0,59.8,0.0,mining
148,100.0,60.3,0.0,mining
149,100.0,60.3,0.0,mining
150,100.0,60.1,0.0,mining
151,62.9,59.5,0.0107421875,mining
152,85.9,59.2,0.041015625,mining
153,100.0,59.4,0.005859375,mining
154,100.0,59.6,0.0,mining
155,100.0,59.5,0.0,mining
156,97.0,59.5,0.49248046875,mining
157,100.0,59.1,11.41298828125,mining
158,100.0,59.3,2.91865234375,mining
159,100.0,59.4,0.0,mining
160,100.0,59.6,0.0,mining
161,100.0,59.5,0.0,mining
162,98.3,59.3,0.0,mining
163,100.0,59.2,0.0,mining
164,100.0,59.7,0.0,mining
165,100.0,60.1,0.0,mining
166,100.0,60.4,0.0,mining
167,100.0,60.4,0.0107421875,mining
168,100.0,60.4,0.0,mining
169,98.9,60.2,0.0064453125,mining
170,100.0,60.0,0.0,mining
171,98.3,59.9,0.0,mining
172,91.7,59.7,0.0,mining
173,98.3,59.8,0.0,mining
174,100.0,59.9,0.0,mining
175,100.0,59.9,0.0,mining
176,99.6,59.7,0.0,mining
177,100.0,59.4,11.7603515625,mining
178,100.0,59.7,2.940625,mining
179,100.0,60.0,0.0,mining
180,100.0,60.2,0.01171875,mining
181,100.0,60.2,0.0,mining
182,100.0,60.1,0.0,mining
183,100.0,60.2,0.0,mining
184,100.0,59.8,0.0107421875,mining
185,100.0,59.9,0.0,mining
186,92.4,59.8,0.0,mining
187,99.6,59.8,0.0,mining
188,95.9,59.5,0.0,mining
189,99.6,59.3,0.0,mining
190,100.0,59.2,0.0,mining
191,100.0,59.3,0.0,mining
192,100.0,59.1,0.0064453125,mining
193,90.4,59.1,0.0,mining
194,98.5,59.0,0.0,mining
195,100.0,59.0,0.0,mining
196,100.0,59.1,22.652734375,mining
197,99.6,59.0,0.005859375,mining
198,100.0,59.1,0.0107421875,mining
199,80.0,59.3,3.03583984375,mining
200,63.0,59.6,0.41982421875,mining
201,100.0,59.7,0.11533203125,mining
202,100.0,59.6,0.0,mining
203,100.0,59.6,0.005859375,mining
204,100.0,59.4,0.0,mining
